,idx,src,mt,type
361086,1366719,Eine Coursage bringt den Ganzanzug erst richtig in Form.,A Coursage takes the whole course in the right shape.,TO ANNOTATE
597777,1487862,"Nicht wringen oder bügeln, nicht zusammengerollt oder in der Sonne liegen lassen!","Don't rush or wear, not rolled together or let it lie in the sun!",TO ANNOTATE
257051,219906,Diese Schlucht zieht dich sofort in deinen Bann.,This ravine will take you straight into your banner.,TO ANNOTATE
583859,300172,Doch Achtung: Seeleoparden sind Fleischfresser und Raubrobben.,But beware: souls are meat buffers and robberies.,TO ANNOTATE
282744,1502803,Bei Beugungen kommt es zum Sprödbruch.,There is a explosion when it comes to denials.,CONTROL HALL
357807,522781,Die Figuren sind starre Spielsteine und daher unanimiert.,The figures are rigid playstones and are therefore applied.,CONTROL HALL
371342,1396256,Rolle zu Rolle und stoppt dann mit einem Zahnstocher.,Role to roll and then stop with a toothstocher.,TO ANNOTATE
331712,158475,"Ausfüllungs bilden sich die persönlichen Details, die erschließen.",Completions form the personal details that open up.,TO ANNOTATE
1635539,1096313,"In allen Flüssen leben die Soča-Forelle, die Bachforelle und ihre Bastarde, die Regenbogenforelle und die Äsche, die bei den Fliegenfischern sehr geschätzt wird.","In all rivers live the Soča fortress, the Bachforelle and their bastarde, the rainbow trout and the ashes, which are highly appreciated by the flying fishermen.",TO ANNOTATE
697486,365697,"Nicht gehen, um mit Ihrem Gefühl faul im Spiel mit Ihnen mehr vollständig umspült reden.",Do not go to speak with your feeling lazy in game with you more completely washed.,TO ANNOTATE
222278,1418599,Gute Zugänglichkeit beim Reinigen ohne Siebausbau.,Good access to cleaning without Siebaubau.,TO ANNOTATE
1600985,713882,"Der Platz alt wurde die HAND des DÄMONS für eine enorme Hand genannt, die in der Klippe, das anch'essa modelliert wurde, das zerstört während der Straße Jobs gegangen wurde.","The old square was called the HAND of the DÄMONS for an enormous hand, modelled in the cliff that anch'essa was destroyed during the street Jobs.",TO ANNOTATE
1253702,485901,Die Teilung der gemeinsamen Sache kann der Anteilinhaber getan werden von den interessierten Parteien oder Schiedsrichter oder Schlichter ernannt Ermessen bei der.,The sharing of the common cause may be done by the shareholder by the interested parties or arbitrator or arbitrator appointed discretion at the .,TO ANNOTATE
880336,293870,"Untreue, Unehrlichkeit und falsches Rumgepose gehen ihr krass auf die Nerven.","Untrue, dishonest, and wrong rumgepose are your nerve.",TO ANNOTATE
1919613,1369482,"1971 während des lavica Hahns, den das vorgerückte Teil des funivia zerstört, dann der Präsident von der Republik Giuseppe Saragat, begleitet von den Behörden zur Fortsetzung, fù in den Voraussetzungen des großen Hotels und auf der lavico Stirn zu pian des Lago mit der ""Katzen des Schnees"" Funktion in der sciistica Jahreszeit dann begleitet unterbrachte.","1971 during the lavica Hahn, which destroys the advanced part of the funivia, then the president of the Republic of Giuseppe Saragat, accompanied by the authorities to continue, fù in the premises of the great hotel and on the lavico forehead to pian of the lake with the ""cats of the snow"" function then accompanied in the sciistica season.",TO ANNOTATE
1041353,798998,"Roheisen, legiert sowie Spiegeleisen in Masseln, Blöcken oder anderen Rohformen (ausg.","Pig iron, alloy as well as track iron in massages, blocks or other raw shapes (excl.",TO ANNOTATE
431927,1877068,"Die Eischale ist nicht weiß sondern grünlich, gefleckt.","The egg eels are not white but green, patched.",TO ANNOTATE
468357,1308140,"Nein glaubte ich, dass das etait, dass in Matrix?",No I thought this etait that in Matrix?,TO ANNOTATE
782862,585633,"Druck Verhältnis 8:1 in der modernen impellerler in der Lage, in einem einstufigen bieten.",Pressure ratio 8:1 in the modern impeller able to offer in a one-stage.,TO ANNOTATE
1064644,595447,"Jemand will wissen, und zusammen mit anderen Bürgern in der Teilnahme, , die der gleichen Stadt oder apkaim isty?","Someone wants to know, and together with other citizens in the participation, which is the same city or apkaim isty?",TO ANNOTATE
1901577,1325789,"- Die Geschichte von drei Bäumen ... Herr ... Ich bin nur ein kleiner Strauch, ohne Kraft und ohne weitere Größe, die Vertrauen und Liebe habe ich für euch dieses Heiligabend ... frage ich mich, dass Sie jede Ihrer Träume für diese machen armer Knecht von dir ... so kann man eines Tages, den Sie der für alle Ewigkeit geträumt ...","- The story of three trees ... Lord ... I'm just a little smoke, without strength and without any more size, the trust and love I have for you this Holy Eve ... I wonder that you make any of your dreams for this make poor servant of you ... so one can one day dream of you the for all eternity ...",TO ANNOTATE
161716,1408412,E. Fleisch- und Knochenmehl,E. Meat and bone meal,TO ANNOTATE
359360,1402121,"Man kann das als die ""Schwedisierung"" Europas bezeichnen.","This can be called the ""swedding"" of Europe.",TO ANNOTATE
189203,1661325,"FORDERT die Mitgliedstaaten daher AUF,","Therefore,",CONTROL HALL
368374,290331,Es wird abgestimmt auf die von unseren Lesern und erreicht werden kann!,It is tuned to that of our readers and can be reached!,TO ANNOTATE
1186811,1620912,"Diese Rechte stehen Publicidad Permanyer, S.L und von Publicidad Permanyer, S.L autorisierten Dritten zu.","Publicidad Permanyer, S.L. and Publicidad Permanyer, S.L.",TO ANNOTATE
1187150,165472,"Apropos Verpackung konnte ich nicht reden BVD , eine Agentur in Stockholm zu den wichtigsten Europas und gewann mehrere Male durch den ED-Awards .","Speaking of packing I could not talk about BVD , an agency in Stockholm to the most important of Europe and won several times through the ED awards .",TO ANNOTATE
172842,1497941,Wo andere Projekte aufhören soll info plus anfangen.,Where other projects should stop info plus start.,TO ANNOTATE
1310732,734852,Dieser Fibeltyp enwickelte sich im germanischen Raum paralell zur römischen Zwiebelknopffibel (Nr. 073).,This type of fiber was paralleled into the Roman onion knopffibel in the Germanic area (No.,TO ANNOTATE
498854,851293,Das Pankreas Zentrum Bern ist Teil des Inselspitals in Bern.,The centre of Bern is part of the island capital in Bern.,TO ANNOTATE
390691,750532,Zum Einen ist es der Rund- und Planlauf des Reifen.,"On the one hand, it is the circular and circuit of the tyre.",TO ANNOTATE
434547,1369601,Timo und Marcel wichsen auf der Kellertreppe.,Timo and Marcel wandered on the waiter staircase.,TO ANNOTATE
617371,1012263,"Als Allah die Zeit erschuf, schuf er reichlich davon, so steht es geschrieben.","When Allah created the time , he created it abundantly , it is written .",TO ANNOTATE
523066,1916812,"Der Weg in die erste Aufgabe, Schülerinnen und Schüler oft den Weg zur Schule.","The way to the first task, students often the way to school.",TO ANNOTATE
810295,1503174,Es sollte in dem Dialog nun zumindestens der Eintrag Markierte Header holen angewählt sein.,It should now be selected at the very least in the Bring Marked Headers dialog.,TO ANNOTATE
826042,523290,Die Entwässerung des Kuchens erfolgt durch den anstei- genden Druck in der Kammer.,The cake is watered down by the anstei-encompassing pressure in the chamber.,TO ANNOTATE
1524031,1258178,"Wenn der Mensch sah in das Leben nur es, machte den Satz außerordentlich auf die Materialwerte, so ist der Verlust sie nicht entgangen führt und zum inneren Krach, bis zu Selbstmord auf.","If man saw in life only it, made the sentence extraordinary to the material values, then the loss has not escaped them and incited them to inner krawl, until suicide.",TO ANNOTATE
1904640,29042,"Stellen Sie sehr- hoch den unseren Bitten vor, damit sehr schnell auf uns die Barmherzigkeiten des Herrn fallen; und erfassen selbst antikes'l Schlange, die n'etwas anderes ist als der Teufel, oder Satan, um es zu überstürzen verknüpft in den Abgründen in qu-Art'er mehr die Nationen nie verführen kann (AP 20).","Imagine very high that of our prayers, that the mercy of the Lord may fall upon us very quickly; and capture even antikes'l snake, which is n'et something other than the devil, or Satan, to rush it in the abysses in qu-art'er more the nations can never seduce (AP 20).",TO ANNOTATE
153580,1744969,Besser ist da die Verwendung von include .,Better is the use of include .,TO ANNOTATE
879018,1552024,"Es ist versorgt, zu den Sie spülen, als normal, jedoch es kann einen Sims vereinigen.","It is supplied to which you spill, as normal, but it can unite a sims.",TO ANNOTATE
720158,1434680,GEBIETE MIT NATURBEDINGTEN NACHTEILEN - Schlussfolgerungen des Rates,NATURAL ADVANTABILITY - Council Conclusions,TO ANNOTATE
789841,1852603,"Prezentacuju gesetzt haben, fing ich an, Schnittstelle zu übersetzen, rasen nicht viel.","Prezentacuju set, I started translating interface, shave not much.",TO ANNOTATE
75100,1858130,"Ich frage mich, warum?",I wonder why?,GOOD
163142,902118,Auf einer Karte wird laufen Millionen von Stadt?,On a map will run millions of city?,TO ANNOTATE
1459286,1451389,"Der Verlust der Seele Sie haben alles verloren: Quid homini prodest ist mundum Universum lucretur, animae true suæ detrimentum patiatur 5?","The loss of soul you have lost everything: Quid homini prodest is mundum Universum lucretur, animae true suæ linkingum patiatur 5?",TO ANNOTATE
1642354,1447215,"Es gibt reichlich Blässhühner und Teichrallen, neben Regenpfeifervögeln und Säbelschnäbler, Störchen und Flussregenpfeifern, um nur einige zu nennen.","There are plenty of porous chickens and pond rallies, besides rainpipe birds and sabercutters, storks and river rainpots, to name but a few.",TO ANNOTATE
275660,1337210,"Wie kann ich bekommen, wenn heute erschöpft ist?",How can I get if I am exhausted today?,TO ANNOTATE
1129614,1786452,"Dies wird zu einem wahren Steilwand mit großen Schulen diklipvissen, Doktorfische und Fahnenbarsche zeigen.","This will lead to a real cliff wall with large schools diklipvissen, doctoral fish and flagfish.",TO ANNOTATE
99916,1757820,Ich habe das einmal überschlagen.,"I have, for once, overshadowed this.",TO ANNOTATE
191956,436884,Zusammen mit deutsch und englisch ist Wohin?,Together with German and English is Wohin?,TO ANNOTATE
1125255,681507,"Ismael nichts zu tun, fragen Sie Fonds (dh, die Proteine und zurück) mit erfordern trocken (nicht zurückgegeben).","Ismael do nothing to do, ask funds (ie, the proteins and back) with require dry (not returned).",TO ANNOTATE
416712,905632,28. September: Unterrichtsbeginn an der Yale School of Music.,"February 28 - The first time in the history of the city, the first time in the history of the city, the first in the world.",TO ANNOTATE
776426,34230,Wird bei jedem Pankreas-Krebs die ganze Bauchspeicheldrüse entfernt?,Is the whole pancreas removed from each pancreas of pancreas?,TO ANNOTATE
478248,1790239,Für größere Gebäude lassen sich mehrere MileGate 2011 kaskadieren.,Several MileGate 2011 can be cascaded for larger buildings.,TO ANNOTATE
61233,1941157,Stand der Drogenproblematik,State of play on drugs,TO ANNOTATE
1350732,283303,"(Ja, ist offensichtlich,,) nicht das Gefühl, ich werde zu entfesseln jabatan2 ich jemals in Campus-Organisationen statt.","(Yes, is obvious,) not the feeling I will unleash jabatan2 I ever held in campus organizations.",TO ANNOTATE
119690,1475823,Zucker AKP-Staaten/Indien III,ACP-India Sugar III,TO ANNOTATE
1270408,1357196,"Natürlich gefallen die Hecken auch den Erdkröten, Igeln, Zauneidechsen und Feldhasen, Iltissen und Wieseln.","Of course, the hedges also fall to the earth's turtles, birds, fences and field phases, Iltissen and Wieseln.",TO ANNOTATE
1848944,93087,"Das Circeo kooperatives 1° jedoch wird im monitorare der Zustand ununterbrochen von Sandbank engagiert und teilzunehmen fristgerecht, um von den etwaigen Veränderungen durch die Bewegung der Bojen und die Emission von ihr zu signalisieren steht veröffentlicht zu dir zu dir auf den Seiten unseres Netzes in Verbindung.","However, the Circeo cooperative 1° is engaged in the monitorar the state uninterrupted by Sandbank and participate in time to signal of any changes due to the movement of buoys and the issue of it is published to you on the sites of our network.",TO ANNOTATE
1746632,1525132,"Für die Punktion der Membran dürfen ausschließlich non-coring Spezialkanülen z.B. SFN®-Portkanülen verwendet werden, die sich durch besonderen Schliff und Nadelspitze auszeichnen und dadurch nicht stanzen.","For the function of the diaphragm, only non-coring special tunnels, e.g. SFN® port channels, may be used, which are characterized by special grip and pin tip and are therefore not dancing.",TO ANNOTATE
127739,1512344,Bösewichte helfen ihren Freunden.,Evilweights help their friends.,TO ANNOTATE
702764,346492,"Sind viele der Frauen , die Netze an den verschiedenen sozialen, überwog die Zahl der Jungen.","Are many of the women , the networks to the various social, overcome the number of boys.",TO ANNOTATE
943605,1180430,Sonder-DOK werden zentral vom Referat DX und HF-Funksport des DARC e.V.,Special DOKs are centralized by the DX and HF-Funksport of the DARC e.V.,TO ANNOTATE
998281,1582053,"Sie sodomisierten sie mit Glasflaschen, schlugen mit Knüppeln auf sie ein und stießen sie herum.","They sodominated them with glass bottles, smashed them with bumps, and stumbled them around.",TO ANNOTATE
428901,1660613,"Nach Überwindung der nächsten Rennen, Sport Taube in ihren Käfig zurück.","After overcoming the next race, sports dove back into her cage.",TO ANNOTATE
570630,1413332,Im Säurebad wird die Platte zwischen den aufgebrachten Körnern angegriffen.,"In the acid bath, the plate is attacked between the raised bodies.",TO ANNOTATE
1900319,1681789,"),Anbeter, die sich selbst schliesslich inthronisiert sehen in Rabelais"" staatlich anerkannten ""Sorbonneseleien"" der rue des Ecoles, in Sossen-Kollegs, Spezialität Béarnaise, oder in Nationalen Zentren für Ungefähre Forschung (die fin"" amors, kesako?","), admirers who finally see themselves inthroned in Rabelais"" state-recognised ""sorbonese leases"" of the rue des Ecoles, in Sossen-Kollegs, speciality Béarnaise, or in National Centres for Inconvenient Research (the fin"" amors, kesako?",TO ANNOTATE
763574,1484162,"Am Ende des Gartens die Wohnwagen ""Les Pétroleuses"" laufendeArbeiten.","At the end of the garden the caravans ""Les Pétroleuses"" running work.",TO ANNOTATE
357123,1289083,Die MAN-Aktienperformance war im Jahr 2009 erfreulich.,MAN share performance was pleasing in 2009.,TO ANNOTATE
794675,677444,"Sie ist durch Silber verletzbar, häutbare alchemistische Substanz ist das Striegenherz.","It is vulnerable to silver, hammable alchemist substance is the stranger's heart.",TO ANNOTATE
432774,1420394,Wenn Sie eine Lamelle Unterstützung besonders in der Mitte des Fußbodens.,If you have a lamp support especially in the middle of the floor.,TO ANNOTATE
1432064,1424112,"Es entstanden im Lauf der Zeit u.a. so bedeutende Werke wie ""Schlitten"", ""Filzanzug"", ""Silberbesen"" oder ""Das Schweigen"".","Over the course of time, important works such as ""sleeping,"" ""filzanzug,"" ""silverbesen"" or ""silencing"" were created.",TO ANNOTATE
235003,596398,Sie mussen zuerst register als Landekurssender .,You first have to register as a land courier .,TO ANNOTATE
391344,138843,Es wurde von Ihnen noch 1449 mit Ihrem Gesinde bewohnt.,It was inhabited by you in 1449 with your face.,TO ANNOTATE
599336,453336,Aus feinem Schweinefleisch mit gewürfelter Schweinezunge und Pistazien.,Made of fine pork with cubeed pig tongue and pistachia.,TO ANNOTATE
86634,1671356,Warum brauchen wir diese Daten?,Why do we need this data?,GOOD
354380,118944,Er schmeckt am Besten einfach als Brotaufstrich.,It is best to taste it simply as a bread stroke.,CONTROL HALL
263517,1816175,Die Geltendmachung eines Verzugsschadens bleibt vorbehalten.,The assertion of default damage is reserved.,TO ANNOTATE
998682,1101484,Ein Sachkonto-1 oder 2 Kartensätze Sie wird auch noch ein Zähler auf 4 oder mehr Kartensätze.,A Sachacco 1 or 2 card sets You will also have a counter on 4 or more card sets.,TO ANNOTATE
